FRT_FID	TEQ_NUMMER
436	24110100035
437	24110100064
438	24110100059
439	24110100065
440	24110100008
441	24110100062
442	24110100026
443	24110100013
444	24110100050
445	24110100033
446	24110100005
447	21110100002
448	21110100005
449	21110100013
450	21110100033
451	21110100026
452	21110100015
453	21110100043
454	21110100003
455	21110100018
456	21110100024
457	21110100057
458	21110100035
459	21110100006
460	21110100010
461	21110100023
462	21110100045
463	21110100028
464	21110100038
465	21110100046
466	21110100049
467	21110100014
468	21110100016
469	21110100047
470	21110100051
471	21110100052
472	21110100008
473	21110100004
474	21110100011
475	21110100041
476	21110100025
477	21110100037
478	21110100053
479	21110100029
480	21110100009
481	21110100044
482	21110100050
483	21110100027
484	21110100007
485	21110100030
486	21110100012
487	21110100056
488	21110100019
489	21110100054
490	21110100039
491	21110100034
492	21110100022
493	21110100048
494	21110100031
495	21110100017
496	21110100032
497	21110100040
498	21110100036
499	21110100055
500	46110100021
501	46110100019
502	46110100062
503	46110100003
504	46110100005
505	46110100026
507	46110100046
508	46110100045
509	46110100020
510	46110100061
511	46110100027
512	46110100047
513	46110100068
514	46110100006
515	46110100028
516	46110100048
517	46110100069
518	46110100007
519	46110100029
520	46110100049
521	46110100070
522	46110100008
523	46110100030
524	46110100050
525	46110100071
526	46110100009
527	46110100031
528	46110100051
529	46110100072
530	46110100010
531	46110100032
532	46110100052
533	46110100073
534	46110100011
535	46110100033
536	46110100053
537	46110100074
538	46110100012
539	46110100034
540	46110100054
541	46110100075
542	46110100013
543	46110100035
544	46110100055
545	46110100076
546	46110100014
547	46110100036
548	46110100056
549	46110100077
550	46110100015
551	46110100037
552	46110100057
553	46110100078
554	46110100016
555	46110100038
556	46110100058
557	46110100079
558	46110100017
559	46110100039
560	46110100059
561	46110100080
562	46110100018
563	46110100040
564	46110100060
565	46110100081
566	46110100067
567	23110100044
568	23110100002
570	23110100025
572	24110100046
573	24110100022
574	46110100025
575	46110100002
576	46110100044
578	23110100041
579	23110100082
580	23110100022
581	23110100063
582	24110100019
583	24110100066
584	24110100043
585	46110100082
586	46110100063
587	46110100022
588	46110100041
589	23110200066
590	23110200026
591	23110200024
592	23110200003
593	23110200085
594	23110200023
595	23110200082
596	23110200025
597	23110200083
598	23110200084
599	23110200027
600	23110200081
601	23110200065
602	23110200018
603	23110200046
604	23110200047
605	23110200067
606	23110200004
607	23110200028
608	23110200048
609	23110200068
610	23110200005
611	23110200029
612	23110200049
613	23110200069
614	23110200006
615	23110200030
616	23110200050
617	23110200070
618	23110200007
619	23110200031
620	23110200051
621	23110200071
622	23110200008
623	23110200032
624	23110200052
625	23110200072
626	23110200009
627	23110200033
628	23110200053
629	23110200073
630	23110200010
631	23110200034
632	23110200054
633	23110200074
634	23110200011
635	23110200035
636	23110200055
637	23110200075
