route_id,trip_id,service_id
1001,113,46
1014,1130,21
1014,1131,21
1014,1132,21
1014,1133,21
1014,1134,21
1014,1135,21
1014,1136,21
1014,1137,21
1014,1138,21
1014,1139,21
1001,114,46
1014,1140,21
1014,1141,21
1014,1142,21
1014,1143,21
1014,1144,21
1014,1145,21
1014,1146,21
1014,1147,21
1014,1148,21
1014,1149,21
1001,115,46
1014,1150,21
1014,1151,21
1014,1152,21
1014,1153,21
1014,1154,21
1014,1155,21
1014,1156,21
1014,1157,21
1014,1158,21
1014,1159,21
1001,116,46
1014,1160,21
1014,1161,21
1014,1162,21
1014,1163,21
1014,1164,21
1014,1165,21
1153,1166,23
1153,1167,23
1153,1168,23
1153,1169,23
1001,117,46
1153,1170,23
1153,1171,23
1153,1172,23
1153,1173,23
1153,1174,23
1153,1175,23
1153,1176,23
1153,1177,21
1153,1178,21
1153,1179,21
1001,118,46
1153,1180,21
1153,1181,21
1153,1182,21
1153,1183,21
1153,1184,21
1153,1185,21
1153,1186,21
1153,1187,21
1153,1188,21
1153,1189,46
1001,119,46
1153,1190,46
1153,1191,46
1153,1192,46
1153,1193,46
1153,1194,46
1153,1195,46
1153,1196,46
1153,1197,46
1153,1198,46
1153,1199,46
1001,12,23
1001,120,46
1153,1200,23
1153,1201,24
1153,1202,21
1153,1203,46
1153,1204,24
1153,1205,24
1153,1206,24
1153,1207,24
1153,1208,24
1153,1209,24
1001,121,46
1153,1210,24
1153,1211,24
1153,1212,24
1153,1213,24
1153,1214,24
1153,1215,24
1153,1216,24
1153,1217,23
1153,1218,46
110,1219,23
1001,122,46
110,1220,23
110,1221,46
110,1222,46
110,1223,23
110,1224,23
110,1225,46
110,1226,46
110,1227,23
110,1228,23
110,1229,21
1001,123,46
110,1230,21
110,1231,46
110,1232,46
110,1233,23
110,1234,23
110,1235,23
110,1236,23
110,1237,23
110,1238,23
110,1239,23
1001,124,46
110,1240,23
110,1241,23
110,1242,23
110,1243,23
110,1244,23
110,1245,23
110,1246,23
110,1247,23
110,1248,23
110,1249,23
1001,125,46
110,1250,23
110,1251,23
110,1252,23
110,1253,23
110,1254,23
110,1255,23
110,1256,23
110,1257,23
110,1258,23
110,1259,23
1001,126,46
110,1260,23
110,1261,23
110,1262,23
110,1263,23
110,1264,23
110,1265,23
110,1266,23
110,1267,23
110,1268,23
110,1269,23
1001,127,46
110,1270,23
110,1271,23
110,1272,23
110,1273,23
110,1274,23
110,1275,23
110,1276,23
110,1277,23
110,1278,23
110,1279,21
1001,128,46
110,1280,21
110,1281,21
110,1282,21
110,1283,21
110,1284,21
110,1285,21
110,1286,21
110,1287,21
110,1288,21
110,1289,21
1001,129,46
110,1290,21
110,1291,21
110,1292,21
110,1293,21
110,1294,21
110,1295,21
110,1296,21
110,1297,21
110,1298,21
110,1299,21
1001,13,23
1001,130,46
110,1300,21
110,1301,21
110,1302,21
110,1303,21
110,1304,21
