"stop_id","stop_name","stop_lat","stop_lon","stop_code","stop_desc","zone_id","wheelchair_boarding"
4895,"Ronzone-Via 4 Novembre 44",46.418925,11.145811,"6600OF",,"6600",
4896,"Dovena-Via Roma Civ. 4",46.456546,11.127469,"6687RM",,"6686",
4897,"Dovena-Inizio Paese",46.457487,11.125253,"6687RO",,"6686",
4898,"Denno-Via Marconi 46",46.272566,11.052235,"6151MC",,"6151",
4904,"Garniga T.-V.Bagni di Fieno 1",45.999662,11.085768,"3690BG",,"3690",
4916,"Nanno-Via Bergamo Civ. 5",46.319385,11.046685,"6215BG",,"6215",
4917,"Tuenno-Via 4 Ville Civ. 41",46.336658,11.028398,"6155VI",,"6155",
4919,"Verdesina-Paese",46.054909,10.713245,"2291PA",,"2291",
4921,"Trentino Trasporti",46.102234,11.094461,"0001TT",,"0937",
4923,"Civezzano-Maso Zandonà",46.08783,11.19062,"1100MZ",,"1100",
4924,"Mezzomonte-Loc. Barco",45.9227,11.135809,"3042BA",,"3042",
4925,"Bivio Costa di Terragnolo",45.880854,11.14789,"3219FA",,"3209",
4927,"Stedileri-Di Fronte Civ. 7",45.872788,11.165593,"3213ST",,"3213",
4939,"Nago Bivio Z.A.I. Mala",45.87784,10.898898,"3470ZR",,"3470",
4941,"Imer Via Nazionale 144",46.149773,11.791408,"5110NA",,"5110",
4942,"Cicona Sp Km 2.4",46.160321,11.740895,"5114BO",,"5114",
4951,"Romagnano-Maso Bozza",45.997977,11.101563,"3620BO",,"3620",
4953,"Casa Rossa-Bar Ristoro",45.854604,10.567038,"2313RS",,"2314",
4954,"Sopramonte-Via Belina",46.072241,11.063013,"2621PA",,"2621",
4955,"Sopramonte-Via Belina 11",46.070915,11.063184,"2621BE",,"2621",
4957,"Sopramonte-Bunaga",46.069391,11.057334,"2621BU",,"2621",
4960,"Nogarè-V.Di S.Giuseppe",46.103967,11.211665,"4023SG",,"4023",
4961,"Calliano Sp 49 'Cimitero'",45.936861,11.098736,"3040CI",,"3040",
4963,"Lago di Terlago-Hotel Lillà",46.097411,11.058247,"2021LI",,"2021",
4964,"Lago di Terlago-Ponte",46.095602,11.055256,"2021PO",,"2021",
4965,"Salorno-Trenitalia",46.24567,11.202736,"1030FS",,"1030",
4966,"Egna-Termeno-Trenitalia",46.319098,11.257383,"1050FS",,"1050",
4967,"Ora-Stazione Fs",46.360987,11.297003,"1167FS",,"1167",
4968,"Magrè-Cortaccia-Trenitalia",46.287799,11.232468,"1045FS",,,
4969,"Ora-Staz.Fs",46.360976,11.297562,"1167FG",,"1167",
4970,"Montagna",46.333021,11.299352,"1055",,,
4971,"Ponte Aldino",46.342951,11.336949,"1056",,,
4972,"Fraveggio Vernisi",46.080553,10.995849,"2041VE",,"2040",
4973,"S. Michele A/Adige-Sc.Elem.",46.189874,11.134127,"0954SE",,"6110",
4979,"Pergine-Via S.Pietro Asl",46.063213,11.244429,"4100SL",,"4100",
4980,"Pergine V.S.Pietro Parch.Curie",46.063433,11.245601,"4100SP",,"4100",
4993,"Sabbionara V.Pozza 'Erta'",45.743006,10.967607,"3357ER",,"3349",
4994,"Sabbionara Via Morielle",45.742358,10.95658,"3357MO",,"3349",
5010,"Morganti-Maso Romina",45.930745,11.224036,"3053MA",,"3053",
5013,"Ponzolotti",45.738779,11.070718,"3337PO",,"3337",
5014,"Revedea Sp 79 Civ. 18",46.152752,11.747616,"5123ST",,"5115",
5018,"Vigolo Baselga-Paese",46.081576,11.044892,"2030PA",,"2030",
5025,"Sardagna Civ.20",46.073125,11.093579,"2620VE",,"2620",
5035,"Noriglio Loc. Masi Brenta",45.878437,11.084034,"3201MB",,"3198",
5037,"Calceranica C.So Alpini Gmp",46.0015,11.245598,"4260DI",,"4260",
5038,"Levico T. Fraz. Campiello",46.018805,11.353077,"4350CA",,"4350",
5043,"Madonna di C.-Loc.Paluac",46.205362,10.81326,"0957PA",,"0957",
5049,"Rocce Rosse-Nuovi Golfi",46.032921,11.049854,"2650RN",,"2650",
