"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
5.9020190912202004E18,1,1,1,1,1,0,0,20190912,20200626
5.9020191008202004E18,1,1,1,1,1,0,0,20191008,20200626
5.9020191028202004E18,1,1,1,1,1,0,0,20191028,20200626
5.9020191224202004E18,1,1,1,1,1,0,0,20191224,20200305
5.9020200609202002E18,1,1,1,1,1,0,0,20200609,20200621
6.2020191208202004E18,1,1,1,1,1,1,0,20191208,20200329
6.2020191208202004E18,1,1,1,1,1,1,0,20191208,20200331
6.2120191208202004E18,0,0,0,0,0,0,1,20191208,20200329
6.2120191208202004E18,0,0,0,0,0,0,1,20191208,20200331
6.2220191208202004E18,1,1,1,1,1,0,0,20191208,20200331
6.2320191208202004E18,0,0,0,0,0,1,0,20191208,20200331
6.2620190912202004E18,0,1,0,0,1,0,0,20190912,20200626
6.2720190912202004E18,0,1,0,0,0,0,0,20190912,20200626
6.2720191028202004E18,0,1,0,0,0,0,0,20191028,20200626
6.3620190912202004E18,0,0,0,0,1,0,0,20190912,20200626
6.3720190912202004E18,1,1,1,1,0,0,0,20190912,20200626
6.3720190921202002E18,1,1,1,1,0,0,0,20190921,20200626
6.4620190912202004E18,0,0,0,0,0,1,0,20190912,20200626
6.4620191028202004E18,0,0,0,0,0,1,0,20191028,20200626
6.512019101420201E18,1,0,0,0,0,0,0,20191014,20200626
6.5320190912202004E18,1,0,0,1,0,0,0,20190912,20200626
6.5320190920202004E18,1,0,0,1,0,0,0,20190920,20200626
