 "name" , "act" ,  ,  ,
 "E391_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E392_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E392_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E393_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E393_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E396_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E396_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E396A_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E396A_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E397_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E397_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E418_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E418_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E424_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E424_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E424B_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E424B_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E425_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E425_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E425B_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E425B_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E432_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E432_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E434_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E434_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E435_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E435_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E440_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E440_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E444_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E444_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E446_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E446_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E447_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E447_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E453_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E453_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E453A_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
